Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-12-19,0.5083,0.5363,0.4608,0.4837,27847208,0,0
2017-12-20,0.4844,0.484,0.4109,0.4833,21769832,0,0
2017-12-21,0.4857,0.5287,0.4467,0.4716,26782148,0,0
2017-12-22,0.4725,0.4774,0.2807,0.3843,17243144,0,0
2017-12-23,0.3879,0.4627,0.3879,0.4171,12683337,0,0
2017-12-24,0.4216,0.4748,0.3661,0.4748,12634764,0,0
2017-12-25,0.4752,0.5877,0.4508,0.4968,34621853,0,0
2017-12-26,0.4956,0.5726,0.4329,0.5137,28017463,0,0
2017-12-27,0.5169,0.5738,0.4813,0.5142,34786994,0,0
2017-12-28,0.5117,0.5116,0.4171,0.4796,20510352,0,0
2017-12-29,0.4832,0.504,0.4497,0.48,16630441,0,0
2017-12-30,0.477,0.477,0.4062,0.4451,18782617,0,0
2017-12-31,0.4413,0.544,0.4356,0.5184,23261916,0,0
2018-01-01,0.5197,0.6173,0.4921,0.5971,29587364,0,0
2018-01-02,0.5951,0.7857,0.5951,0.7045,76927680,0,0
2018-01-03,0.7075,0.8487,0.6416,0.8168,66971717,0,0
2018-01-04,0.8092,0.8575,0.7594,0.792,62341836,0,0
2018-01-05,0.7797,0.8297,0.6505,0.6858,57860641,0,0
2018-01-06,0.6898,0.9297,0.6861,0.8236,64409365,0,0
2018-01-07,0.8218,1.0439,0.8218,0.9397,97699471,0,0
2018-01-08,0.9424,1.1466,0.7297,1.053,88830069,0,0
2018-01-09,1.0599,1.222,1.0143,1.1126,108470910,0,0
2018-01-10,1.1188,1.1186,0.9189,1.0052,60643899,0,0
2018-01-11,1.0027,1.0034,0.7782,0.8179,42724187,0,0
2018-01-12,0.8346,0.9614,0.7955,0.924,40426538,0,0
2018-01-13,0.9252,0.9843,0.9141,0.9513,36363202,0,0
2018-01-14,0.9537,0.9537,0.7973,0.8254,33576039,0,0
2018-01-15,0.8232,0.9058,0.7586,0.857,35866959,0,0
2018-01-16,0.8593,0.8593,0.456,0.601,33983861,0,0
2018-01-17,0.5968,0.7319,0.4383,0.7319,32764762,0,0
2018-01-18,0.7381,0.8234,0.7056,0.7346,42168884,0,0
2018-01-19,0.7282,0.7882,0.6923,0.7411,23688635,0,0
2018-01-20,0.747,0.845,0.7461,0.8148,18238061,0,0
2018-01-21,0.8161,0.8161,0.6529,0.6935,12821595,0,0
2018-01-22,0.699,0.7175,0.5768,0.6371,20698629,0,0
2018-01-23,0.6405,0.7177,0.5891,0.7177,21244947,0,0
2018-01-24,0.7154,0.7715,0.6512,0.6705,43941759,0,0
2018-01-25,0.68,0.7028,0.6656,0.6871,24750696,0,0
2018-01-26,0.6865,0.6957,0.6122,0.6878,20263844,0,0
2018-01-27,0.6868,0.8183,0.6762,0.815,37748276,0,0
2018-01-28,0.8146,0.8146,0.7599,0.8004,31556864,0,0
2018-01-29,0.7976,0.8092,0.7321,0.7489,24636054,0,0
