Date,Open,High,Low,Close,Adj Close,Volume
2019-03-17,0.265689,0.266114,0.259243,0.260444,0.260444,7379610
2019-03-18,0.260470,0.264522,0.256473,0.260957,0.260957,10566953
2019-03-19,0.260893,0.262033,0.256749,0.259032,0.259032,11089586
2019-03-20,0.259193,0.259355,0.253345,0.259244,0.259244,13668820
2019-03-21,0.259797,0.265489,0.254411,0.262003,0.262003,18195395
2019-03-22,0.261843,0.269127,0.258926,0.266231,0.266231,18440035
2019-03-23,0.266140,0.272208,0.265783,0.270504,0.270504,16567205
2019-03-24,0.270366,0.296077,0.270366,0.281813,0.281813,32555683
2019-03-25,0.281990,0.283256,0.268372,0.274091,0.274091,22241027
2019-03-26,0.273525,0.295857,0.273501,0.290457,0.290457,32332958
2019-03-27,0.290947,0.307216,0.285855,0.305541,0.305541,27489550
2019-03-28,0.305500,0.351071,0.303286,0.341770,0.341770,42228605
2019-03-29,0.341209,0.410699,0.341209,0.376159,0.376159,88044601
2019-03-30,0.376171,0.380905,0.345153,0.361879,0.361879,38856401
2019-03-31,0.361879,0.387252,0.353078,0.386583,0.386583,28427887
2019-04-01,0.383609,0.406848,0.378691,0.378691,0.378691,44088180
2019-04-02,0.378887,0.428502,0.377468,0.428502,0.428502,50393633
2019-04-03,0.428578,0.428991,0.372523,0.382813,0.382813,47322712
2019-04-04,0.382509,0.405878,0.364357,0.379789,0.379789,56707084
2019-04-05,0.378703,0.422582,0.378703,0.412449,0.412449,65272446
2019-04-06,0.412697,0.421079,0.398957,0.406008,0.406008,54553427
2019-04-07,0.405977,0.414101,0.397554,0.401412,0.401412,50322601
2019-04-08,0.401560,0.407636,0.387862,0.393242,0.393242,51487444
2019-04-09,0.393127,0.393127,0.380909,0.387130,0.387130,57384470
2019-04-10,0.387163,0.403596,0.385403,0.391592,0.391592,41915317
2019-04-11,0.391548,0.392443,0.349660,0.362856,0.362856,37043523
2019-04-12,0.362427,0.386671,0.351863,0.385212,0.385212,49314174
2019-04-13,0.385197,0.417582,0.379359,0.415397,0.415397,52857756
2019-04-14,0.415349,0.438949,0.403569,0.409003,0.409003,64332103
2019-04-15,0.409000,0.420254,0.387972,0.393442,0.393442,52284932
2019-04-16,0.393471,0.443008,0.391177,0.435473,0.435473,60846581
2019-04-17,0.435306,0.450663,0.427403,0.446304,0.446304,62386921
2019-04-18,0.446743,0.491867,0.446750,0.470992,0.470992,72310782
2019-04-19,0.470291,0.513410,0.465126,0.505963,0.505963,63942088
2019-04-20,0.506049,0.582689,0.501061,0.555041,0.555041,129772255
2019-04-21,0.555111,0.669083,0.542110,0.594483,0.594483,233348397
2019-04-22,0.593645,0.612094,0.527519,0.534518,0.534518,125894765
2019-04-23,0.534220,0.605404,0.517522,0.566346,0.566346,139693501
2019-04-24,0.567896,0.608584,0.537283,0.562127,0.562127,157864563
2019-04-25,0.562165,0.586546,0.517630,0.521644,0.521644,93273138
2019-04-26,0.523078,0.531366,0.491676,0.507829,0.507829,84677959
2019-04-27,0.508145,0.531094,0.492725,0.525621,0.525621,63916173
